dec,bin,gray,contiguity,score
38386,1001010111110010,1101111100001011,True,0.4487873696983722
38387,1001010111110011,1101111100001010,True,0.19295272708720798
38388,1001010111110100,1101111100001110,True,0.3884896424836196
38389,1001010111110101,1101111100001111,True,0.6443242850947838
38390,1001010111110110,1101111100001101,True,0.4461074707110498
38391,1001010111110111,1101111100001100,True,0.19027282809988563
38392,1001010111111000,1101111100000100,True,0.10710024881477467
38393,1001010111111001,1101111100000101,True,0.3629348914259388
38394,1001010111111010,1101111100000111,True,0.5611517058096728
38395,1001010111111011,1101111100000110,True,0.30531706319850865
38396,1001010111111100,1101111100000010,True,0.109780147802097
38397,1001010111111101,1101111100000011,True,0.36561479041326117
38398,1001010111111110,1101111100000001,True,0.16739797602952716
38399,1001010111111111,1101111100000000,True,0.08843666658163699
38400,1001011000000000,1101110100000000,False,1.0
38401,1001011000000001,1101110100000001,False,1.0
38402,1001011000000010,1101110100000011,False,1.0
38403,1001011000000011,1101110100000010,False,1.0
38404,1001011000000100,1101110100000110,False,1.0
38405,1001011000000101,1101110100000111,True,0.39538081130816277
38406,1001011000000110,1101110100000101,False,1.0
38407,1001011000000111,1101110100000100,False,1.0
38408,1001011000001000,1101110100001100,False,1.0
38409,1001011000001001,1101110100001101,False,1.0
38410,1001011000001010,1101110100001111,True,0.47855339059327373
38411,1001011000001011,1101110100001110,False,1.0
38412,1001011000001100,1101110100001010,False,1.0
38413,1001011000001101,1101110100001011,False,1.0
38414,1001011000001110,1101110100001001,False,1.0
38415,1001011000001111,1101110100001000,False,1.0
38416,1001011000010000,1101110100011000,False,1.0
38417,1001011000010001,1101110100011001,False,1.0
38418,1001011000010010,1101110100011011,False,1.0
38419,1001011000010011,1101110100011010,False,1.0
38420,1001011000010100,1101110100011110,False,1.0
38421,1001011000010101,1101110100011111,True,0.5540691156288924
38422,1001011000010110,1101110100011101,False,1.0
38423,1001011000010111,1101110100011100,False,1.0
38424,1001011000011000,1101110100010100,False,1.0
38425,1001011000011001,1101110100010101,False,1.0
38426,1001011000011010,1101110100010111,False,1.0
38427,1001011000011011,1101110100010110,False,1.0
38428,1001011000011100,1101110100010010,False,1.0
38429,1001011000011101,1101110100010011,False,1.0
38430,1001011000011110,1101110100010001,False,1.0
38431,1001011000011111,1101110100010000,False,1.0
38432,1001011000100000,1101110100110000,False,1.0
38433,1001011000100001,1101110100110001,False,1.0
38434,1001011000100010,1101110100110011,False,1.0
38435,1001011000100011,1101110100110010,False,1.0
38436,1001011000100100,1101110100110110,False,1.0
38437,1001011000100101,1101110100110111,False,1.0
38438,1001011000100110,1101110100110101,False,1.0
38439,1001011000100111,1101110100110100,False,1.0
38440,1001011000101000,1101110100111100,False,1.0
38441,1001011000101001,1101110100111101,False,1.0
38442,1001011000101010,1101110100111111,True,0.6264263882865955
38443,1001011000101011,1101110100111110,False,1.0
38444,1001011000101100,1101110100111010,False,1.0
38445,1001011000101101,1101110100111011,False,1.0
38446,1001011000101110,1101110100111001,False,1.0
38447,1001011000101111,1101110100111000,False,1.0
38448,1001011000110000,1101110100101000,False,1.0
38449,1001011000110001,1101110100101001,False,1.0
38450,1001011000110010,1101110100101011,False,1.0
38451,1001011000110011,1101110100101010,False,1.0
38452,1001011000110100,1101110100101110,False,1.0
38453,1001011000110101,1101110100101111,False,1.0
38454,1001011000110110,1101110100101101,False,1.0
38455,1001011000110111,1101110100101100,False,1.0
38456,1001011000111000,1101110100100100,False,1.0
38457,1001011000111001,1101110100100101,False,1.0
38458,1001011000111010,1101110100100111,False,1.0
38459,1001011000111011,1101110100100110,False,1.0
38460,1001011000111100,1101110100100010,False,1.0
38461,1001011000111101,1101110100100011,False,1.0
38462,1001011000111110,1101110100100001,False,1.0
38463,1001011000111111,1101110100100000,False,1.0
38464,1001011001000000,1101110101100000,False,1.0
38465,1001011001000001,1101110101100001,False,1.0
38466,1001011001000010,1101110101100011,False,1.0
38467,1001011001000011,1101110101100010,False,1.0
38468,1001011001000100,1101110101100110,False,1.0
38469,1001011001000101,1101110101100111,False,1.0
38470,1001011001000110,1101110101100101,False,1.0
38471,1001011001000111,1101110101100100,False,1.0
38472,1001011001001000,1101110101101100,False,1.0
38473,1001011001001001,1101110101101101,False,1.0
38474,1001011001001010,1101110101101111,False,1.0
38475,1001011001001011,1101110101101110,False,1.0
38476,1001011001001100,1101110101101010,False,1.0
38477,1001011001001101,1101110101101011,False,1.0
38478,1001011001001110,1101110101101001,False,1.0
38479,1001011001001111,1101110101101000,False,1.0
38480,1001011001010000,1101110101111000,False,1.0
38481,1001011001010001,1101110101111001,False,1.0
38482,1001011001010010,1101110101111011,False,1.0
38483,1001011001010011,1101110101111010,False,1.0
38484,1001011001010100,1101110101111110,False,1.0
38485,1001011001010101,1101110101111111,False,1.0
38486,1001011001010110,1101110101111101,False,1.0
38487,1001011001010111,1101110101111100,False,1.0
38488,1001011001011000,1101110101110100,False,1.0
38489,1001011001011001,1101110101110101,False,1.0
38490,1001011001011010,1101110101110111,False,1.0
38491,1001011001011011,1101110101110110,False,1.0
38492,1001011001011100,1101110101110010,False,1.0
38493,1001011001011101,1101110101110011,False,1.0
38494,1001011001011110,1101110101110001,False,1.0
38495,1001011001011111,1101110101110000,False,1.0
38496,1001011001100000,1101110101010000,False,1.0
38497,1001011001100001,1101110101010001,False,1.0
38498,1001011001100010,1101110101010011,False,1.0
38499,1001011001100011,1101110101010010,False,1.0
38500,1001011001100100,1101110101010110,False,1.0
38501,1001011001100101,1101110101010111,False,1.0
38502,1001011001100110,1101110101010101,False,1.0
38503,1001011001100111,1101110101010100,False,1.0
38504,1001011001101000,1101110101011100,False,1.0
38505,1001011001101001,1101110101011101,False,1.0
38506,1001011001101010,1101110101011111,False,1.0
38507,1001011001101011,1101110101011110,False,1.0
